Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
She Dies Tomorrow,59%  5.1 (6k),"Drama, Fantasía, Terror, Misterio & Suspense, Ciencia ficción, Comedia",1h 25min,16,Amy Seimetz,(2020),", Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Chris Messina, Tunde Adebimpe, Jennifer Kim, Josh Lucas, Adam Wingard, Michelle Rodriguez, Olivia Taylor Dudley, Madison Calderon, James Benning, Oden Mack"
Euphoria,48%  6.4,"Drama, Comedia",1h 34min,,Paula Kelly,(2011),", Brooke Palsson, John B. Lowe, Sarah Constible, Taya Dawn Ayotte Bourns, Darcy Fehr, Susan Kelso, Darren Felbel, Claire Thomas, Kassidy Love Brown, Vanessa Mayberry, Doreen Brownstone"
The Big Ugly,58%  5.1 (6k),"Misterio & Suspense, Crimen, Drama",1h 46min,,Scott Wiper,(2020),", Vinnie Jones, Malcolm McDowell, Ron Perlman, Nicholas Braun, Leven Rambin, Lenora Crichlow, Brandon Sklenar, Elyse Levesque, Bruce McGill"
Centigrade,24%,Misterio & Suspense,20min,18,Colin Cunningham,(2007),", Colin Cunningham, Daniel Brodsky, Ron Sauvé, Bernhard Lachkovics, Derrick Garland, Mark Rickerby, Madison Graie, Sterling Wong, Fulvio Cecere"
Bombshell,27%,Drama,14min,,Erin Sanger,(2013),", Sofi Choinski, Logan Riley Bruner, Shane Nepveu, Tristan Alan, Daniel Hartley, Carolyn Slesinski"
Tesla,61%  5.1 (9k),"Drama, Historia",1h 42min,12,Vilius Lukošius,(2020),
Amulet,59%  4.9 (3k),Terror,1h 39min,,Romola Garai,(2020),", Carla Juri, Alec Secăreanu, Imelda Staunton, Angeliki Papoulia, Paul O'Kelly, Amanda Quach, Tom Bennett, Jacqueline Roberts, Louis Jay Jordan, Perry Jaques, Anah Ruddin, Yonah Odoom, Joseph Akubeze, Elowen Harris"
McQueen,79%  7.2,Drama,1h 43min,,John Caird,(2015),", Stephen Wight, Dianna Agron, Tracy-Ann Oberman, David Shaw-Parker"
A Nice Girl Like You,61%  5.1 (5k),"Romance, Comedia",1h 34min,13,"Chris Riedell ,  Nick Riedell",(2020),", Lucy Hale, Leonidas Gulaptis, Mindy Cohn, Jackie Cruz, Adhir Kalyan, Deborah S. Craig, Leah McKendrick, Constantine Maroulis, Angela Oh, Matt Crabtree, Tim Hayes, Nadia Quinn, Skye P. Marshall, Buzz Roddy, Stormi Maya, Anne-Marie Cusson, Tyler Bunch, Sydney Farley, Jina Panebianco, Jeffrey Butler, Ace Marrero, Erin Stegeman, Nick Riedell, Chris Riedell, Ariel Ash, Paula Rossman, Joseph Kamal, Buzz Roddy, Meg Weidner, Rachel Paula Green, Erick Gonzalez"
Christmas Crush,54%  4.9 (1k),"Drama, Romance, Comedia",1h 28min,,Marita Grabiak,(2012),", Rachel Boston, Jonathan Bennett, Marilu Henner, Harry Hamlin, Sunny Mabrey, Julia Voth, Elizabeth Braun, Josh Crotty, Eileen April Boylan, Kenny Davis, Stewart Scott, Robin Johnson, Juliet Tondowski, Houda Shretah, Jon Prescott"
Search and Destroy,43%  2.8,"Drama, Acción & Aventura, Comedia",1h 33min,,Danny Lerner,(2020),", Dylan Bruce, Julian Kostov, Tim Fellingham, Leslie Grantham, Atanas Srebrev, Bashar Rahal, Owen Davis, Velislav Pavlov, Julian Vergov, Mariy Rosen, Sergey Badyuk, Nikolay Stanoev, Naum Shopov, Nikolai Sotirov, Christian Levatino, Stanislav Pishtalov, Kiril Efremov, Antonio Patorozliev, Anton Poriazov, Leart Dokle, Anton Trendafilov, Todor Berov, Craig Walser, Nikolay Stanchev, Daniell Tahor, Bob Thao, Patrick Roberts, Stilyan Mavrov, Magdi Mozzamil, Nadya Ivanova, Aglaya Lenkova, Aiden Ivanov, Nikoleta Stoyanova, Valeri Lashev, Elizabeth Krinock, Jomar Jokeen Deterline"
Spring,4%,,23min,,Nathaniel Dorsky,(2013),
Suburban Gothic,61%  5.6 (4k),"Comedia, Terror",1h 30min,,Richard Bates Jr.,(2015),", Matthew Gray Gubler, Ray Wise, Kat Dennings, Sally Kirkland, Jeffrey Combs, John Waters, Mackenzie Phillips, Barbara Niven, Muse Watson, Mel Rodriguez, Ronnie Gene Blevins, Jack Plotnick, Ray Santiago, Shanola Hampton, Jessica Camacho, Mckenna Grace"
The Blood Is At the Doorstep,69%  6.7,Documental,1h 30min,,Erik Ljung,(2017),", Wes Tank"
The Sunlit Night,64%  6.1 (2k),"Drama, Comedia, Romance, Europeas",1h 22min,,David Wnendt,(2020),", Jenny Slate, Alex Sharp, Zach Galifianakis, Gillian Anderson, Fridtjov Såheim, David Paymer, Jessica Hecht, Elise Kibler, David Corenswet, Justus von Dohnányi, Olek Krupa, Dan Puck, Ginna Lavine, Trond Høvik, Julie Støp Husby, Luise Nes"
Braking for Whales,55%  4.9,"Drama, Comedia",1h 43min,,Sean McEwen,(2020),", Tammin Sursok, Tom Felton, Wendi McLendon-Covey, David Koechner, Austin Swift, Carrie Clifford, Tony Skinner, Jay Dee, Brandon Delmer Doyle, Brian H. Hooper, Brent Mendenhall"
General Commander,45%  3.2 (1k),"Acción & Aventura, Drama, Misterio & Suspense, Europeas",1h 25min,,"Ross W. Clarkson ,  Philippe Martinez",(2019),", Steven Seagal, Ron Smoorenburg, Sonia Couling, Soraya Torrens, Megan Brown, Mica Javier, Erdenetuya Batsukh, Jai Day, Francis Mata, Erlinda Villalobos, Evgeniya Akhremenko, Byron Gibson"
The Assault,43%  3.5,"Acción & Aventura, Misterio & Suspense, Europeas",1h 12min,,Jacob Cooney,(2017),", Tom Sizemore, Jordan Ladd, Nikki Moore, Kevin Nash, Thyme Lewis, David Gere, Lindsay Lamb, Tom DeNucci"
Avenues,71%  5.8,"Drama, Comedia",1h 16min,,Michael Angarano,(2019),", Michael Angarano, Ari Graynor, Nicholas Braun, Adelaide Clemens, John Robinson, Greg Vrotsos, Brian Geraghty, Juno Temple, Maya Kazan, Lorna Guity Pruce, Yaron Urbas"
Baby Steps,56%  5.8,"Drama, Comedia, Familia, Romance",1h 43min,,Joyeeta Chatterjee,(2015),", Akshay Oberoi, Paras Tomar, Soni Razdan"
Brand New Old Love,50%  4.8,"Comedia, Romance, Drama",1h 37min,,Cat Rhinehart,(2018),", Arturo Castro, Aya Cash, Josh Brener, Mindy Sterling, Brian Doyle-Murray, David DeSantos, Nikki McKenzie, Dijon Talton, Chelsea Blechman, Jonathan Stark, Alexia Ioannides, Olivia Negron, Dianna Catterton, Tim Dax, Kip Pardue, Meghan Falcone, Haviland Stillwell, Barret Hackney, Dan O'Brien, Amy Rosoff, Tessa Munro, Angela Durazo, Joanna Leeds, Mandy Henderson, Nzinga Blake, Lahna Turner, Josh Nasar, P.J. Marino, Amelia Alvarez, Ariel Paredes, Jacquel Cardona, Ed Galvez, Nicole Steward, Michael Magid, Angela Francis, David Lyman, Maria Shehata, Brittney King, Rob D. Turner, Greg Feiner, Luke A. Fraunces, Annie Dubois Wareck, Davey S. Smith, Nicholas Justice, Merrill Davis, Sarah Ann Masse, James Lujan"
Christmas on Holly Lane,70%  6.4,"Romance, Drama",1h 20min,,Michael Scott,(2018),", Sarah Lancaster, Karen Holness, Gina Holden, Jaime M. Callica, Giles Panton, Taylor Dianne Robinson, Ava Telek, Sharon Crandall, Tristan Shire, Tariq Leslie, Serge Houde"
Daphne,66%  6.1 (1k),"Drama, Comedia",1h 27min,,Peter Mackie Burns,(2017),", Emily Beecham, Tom Vaughan-Lawlor, Nathaniel Martello-White, Ritu Arya, Karina Fernandez, Sinead Matthews, Ragevan Vasan, Osy Ikhile, Amra Mallassi, Stuart McQuarrie, Geraldine James, Ryan McParland, Matthew Pidgeon, Rania Kurdi, Ruth Bradley, Erica Guyatt, Timothy Innes, Victoria Willing, Kareem Youseff, Reem Youseff, Esther Siyabola, Corinna Brown, Richard Banks, Gary John Clarke, Charlene Durrant, Shane Griffin, Tristan Pegg, Gianluca Tamburella"
Delirium,53%  4.5,Comedia,1h 24min,,Carlos Kaimakamian Carrau,(2014),", Ricardo Darín, Ramiro Archain, Emiliano Carrazzone, Florencia Miller, Miguel Di Lemme"
Elf,76%  7.1 (284k),"Familia, Fantasía, Comedia, Romance",1h 37min,APTA,Jon Favreau,(2003),", Will Ferrell, James Caan, Bob Newhart, Ed Asner, Mary Steenburgen, Zooey Deschanel, Daniel Tay, Faizon Love, Peter Dinklage, Amy Sedaris, Michael Lerner, Andy Richter, Kyle Gass, Artie Lange, Leon Redbone, Ray Harryhausen, Claire Lautier, Ted Friend, Patrick Ferrell, Patrick McCartney, Jon Favreau, Lydia Lawson-Baird, Brenda McDonald, Annie Brebner, Luke Pohl, Meghan Black, Patrick Baynham, Michael Roberds, Peter A. Hulne, Patrick Hulne, Richard Side, David-Paul Grove, Kristian Ayre, Lorin Heath, Dillard Brinson, Brad Turner, David Berenbaum, Brenda Crichlow, Oscar Goncalves, Mary Black, Murray Jack, Mark Acheson, Robin Mossley, Paul Schofield, Matt Walsh, Will McCormack, Gus Michael, Alexandra Michael, Terry J. Scarlatos, Jonathan Bruce, Akeem A. Smith, Michael Christopher Fischetti, Jane Bradbury, Peter Billingsley, John Murray, Craig 'Radioman' Castaldo, Graeme Duffy, Maurice LaMarche, Rachel Lana Li, Natasha Denis, Dal McKennon, Nance Nickels, Albert Precourt, Joe Ranft, Jamie Vergan"
Hollow Man,66%  5.8 (133k),"Ciencia ficción, Acción & Aventura, Terror, Misterio & Suspense",1h 52min,13,Paul Verhoeven,(2000),", Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens, Greg Grunberg, Joey Slotnick, Mary Randle, William Devane, Rhona Mitra, Pablo Espinosa, Jeffrey Scaperrotta, Tom Woodruff Jr., Margot Rose, Jimmie F. Skaggs, Sarah Bowles, Kelli Scott, J. Patrick McCormack, Darius A. Sultan, David Vogt, Gary A. Hecker"
Never Been Kissed,67%  6.0 (92k),"Drama, Comedia, Romance",1h 47min,,Raja Gosnell,(1999),", Drew Barrymore, David Arquette, Molly Shannon, Michael Vartan, Jessica Alba, John C. Reilly, James Franco, Octavia Spencer, Jenny Bicks, Garry Marshall, Sean Whalen, Cress Williams, Sarah DeVincentis, Allen Covert, Armand Reiser, David Doty, Derek Morgan, Kathleen Marshall, Leelee Sobieski, Marley Shelton, Jordan Ladd, Jeremy Jordan, Jason Weissbrod, Katie Lansdale, Branden Williams, Gregory Sporleder, Martha Hackett, Jennifer Parsons, Andrew Wilson, Alex Solowitz, Niesha Trout, Chad Haywood, Cory Hardrict, Chad Todhunter, Daniel Louis Rivas, Mark Edwards, Denny Kirkwood, Marissa Jaret Winokur, Carmen Llywelyn, Sara Downing, Mike Moyer, Steven Wilde, Maya McLaughlin, David Douglas, Russell Bobbitt, Giuseppe Andrews, Mike Stoklasa, Rich Evans"
Rag Doll,64%  5.2,"Acción & Aventura, Drama, Animación",1h 43min,,Leon Lee,(2020),", Susie Lee, Carolyn Yu, Leifennie, Serena Lee, Tony Bai"
Shangri-La Suite,60%  5.1,"Drama, Romance, Acción & Aventura, Crimen",1h 30min,,Eddie O'Keefe,(2016),", Emily Browning, Luke Grimes, Avan Jogia, Ashley Greene, Burt Reynolds, John Carroll Lynch, Ron Livingston, Tatanka Means, Paul Rae, Alyvia Alyn Lind, Kate Butler, Trevante Rhodes, Amanda Aday, Joseph Wise, Jade Pettyjohn, Echo Kellum, Reiley McClendon, Rob Zabrecky, Kate Krieger, Daniel Spink, Dillon Daniel Mutyaba, Kristen Kassinger, Sarah Noble Peck, Zoe Vance, Jasmin Radibratovic, Michael Cimino, Alan Tudyk"
The Night Watchmen,58%  5.4 (2k),"Comedia, Acción & Aventura, Terror",1h 20min,,Mitchell Altieri,(2017),", Ken Arnold, Dan DeLuca, Kevin Jiggetts, Kara Luiz, Max Gray Wilbur, James Remar, Matt Servitto, Diona Reasonover, Rain Pryor, Tiffany Shepis, Sarah French"
Wetlands,61%  5.8 (11k),"Drama, Comedia, Europeas",1h 49min,,David Wnendt,(2013),", Carla Juri, Axel Milberg, Meret Becker, Peri Baumeister, Christoph Letkowski, Edgar Selge, Clara Wunsch, Ludger Bökelmann, Bernardo Arias Porras, Selam Tadese, Pia Röver, Harry Baer, Merlin Rose, Florian Rummel, Anna König, Kathrin Wehlisch, Ramona Kunze-Libnow, Christian Natter, Monika Obmalko, Amelie Plaas-Link, Catherine Flemming, Andreas Schmidt, Conny Dachs, Michael Zühlke"
Citizen Bio,72%  6.0,Documental,1h 35min,,Trish Dolman,(2020),", Aaron Traywick"
Bad Hair,45%,Terror,12min,,Oskar Lehemaa,(2020),", Sten Karpov"
The Broken Land,59%  5.1,"Western, Acción & Aventura, Romance",1h 0min,,John A. Bushelman,(1962),", Kent Taylor, Diana Darrin, Jody McCrea, Robert Sampson, Jack Nicholson, Gary Sneed, Don Orlando, Helen Joseph"
Bad Hombres,31%  6.6,"Documental, Acción & Aventura, Comedia, Crimen, Misterio & Suspense",1h 41min,,,(2020),
Emperor,75%  5.8 (1k),"Drama, Western, Acción & Aventura, Historia",1h 39min,,Mark Amin,(2020),", Dayo Okeniyi, Bruce Dern, James Cromwell, Kat Graham, Ben Robson, Naturi Naughton, Paul Scheer, Keean Johnson, M.C. Gainey, Mykelti Williamson, Harry Lennix, Nicholas Logan, Brad Carter, Trayce Malachi, Dorothy Steel"
Mona Lisa Smile,74%  6.5 (84k),Drama,1h 57min,7,Mike Newell,(2003),", Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal, Ginnifer Goodwin, Dominic West, Juliet Stevenson, Marcia Gay Harden, John Slattery, Marian Seldes, Donna Mitchell, Terence Rigby, Jennie Eisenhower, Leslie Lyles, Laura Allen, Topher Grace, Jordan Bridges, Ebon Moss-Bachrach, Chuck Montgomery, Taylor Roberts, John Scurti, Ed Peed, Rony Clanton, Becky Veduccio, Paul Vincent Black, Lisa Roberts Gillan, June Miller, Aleksa Palladino, Charles Techman, Lauren Adler, Daisy Baldwin, Janine Barris, Emily Bauer, Kirstie Bingham, Jennifer Bowen, Angelique Claire, Nikki Coble, Kristen Connolly, Kristyn Coppola, Kimberly Ehly, Megan Marie Ford, Lauren Fruchter, Kate Glass, Amanda Gruss, Stella Hao, Walker Hays, Michele Hillen, Annika Marks, Amy Montminy, Lily Rabe, Kate Reilly, Krysten Ritter, Brandy Tipton, Trisha Trokan, Megan Tropea, Maja Wampuszyc, Mary Pascoe, Elise Passamani, Laura M. Flahive, Devon Jencks, Erin E. Richardson, Emily R. See, Rob Buntzen, Richard O'Rourke, Chris Bonomo, Katherine Argo, Shelby Bond, Lou Brock, Michael Choi, Melissa Deles, John D. Fowler, Nicole Frydman, Noelle Gibson, Maria Vicens Girau, Natalie Gomez, Sid Grant, Madeleine Hackney, Betina Hershey, Yuval Hod, Richard Jones, Jerry Jordan, Nickolay Khazanov, Nadia Kravets, Maria Levinstein, KellyDawn Malloy, Annette Nicole, Lance Olds, Joe Palmer, Christian Perry, Daniel Ponickly, Tony Scheppler, Solomon Singer, Gabriel Vaughan, Kim Villanueva, Dan Weltner, Sarah Billings Wheeler, Denise Zadroga, Peter J. Rowan, Tori Amos, Kevin Osborne, Brad Mehldau, Larry Grenadier, Julie Wagner, Jennifer Anderson, Lindsey White, Chris Burke, Dorothy Dwyer, Melanie Angelique Moyer, Canedy Knowles, Kristen Marie Holly, Carrie Ann Kaye, Liliane Thomas, Jackie Sanders, Anna Fields, Valerie Vaile, Jill Whitaker, Randi Newton, Grenville Cuyler, Erik Davies, Gunna Wilson, Corey W. Allen, Marylouise Burke, Trish McGettrick, Jeannette Gould, Whitney Avalon, Eric Bruno Borgman, Cristie Schoen, Katrina Connor, Marlo DiCrasto, Ashley Dru Douglass, Liesl Ehardt, Jessica Leigh Johnson, Kara Klein, Marni Penning, Dina Rose Rivera, Vivian Kalinov, Melissa Goodwin Shepherd, Josh Mowery, Michael Cuomo, Maria Rusolo, Christopher Braden"
Life Without Basketball,83%  6.9,"Deporte, Documental, Europeas",1h 38min,,"Jon Mercer ,  Tim O'Donnell",(2019),
Infamous,58%  4.3 (3k),"Crimen, Romance, Misterio & Suspense, Drama",1h 40min,16,Joshua Caldwell,(2020),", Bella Thorne, Jake Manley, Amber Riley, Michael Sirow, Marisa Coughlan, Billy Blair, Robert Peters, Joey Oglesby, Damon Carney, Aaliyah Muhammad, Rose Lane Sanfilippo, Mike Page, Madison Bready, Ed Spinelli, Kyle Jacob Henry, Mark Adam Goff, Brenda Williams, Lisandro Boccacci, Alex Atkinson, Ernie Robinson"
Books of Blood,68%  5.6 (8k),"Ciencia ficción, Drama, Terror",1h 47min,18,Brannon Braga,(2020),", Britt Robertson, Freda Foh Shen, Nicholas Campbell, Anna Friel, Rafi Gavron, Yul Vazquez, Andy McQueen, Kenji Fitzgerald, Paige Turco, Saad Siddiqui, Glen Lefchak, Brett Rickaby, Matt Bois, Etienne Kellici, Cory Lee, Greg Fong, Sean Skerry, Andrew Moodie, Catherine Burdon, Marietta Laan, Seamus Patterson, Rachel Daigh, Bailey Maughan, Kristin Langille, Nita-Josee Hanna"
Colossal,69%  6.2 (63k),"Ciencia ficción, Drama, Fantasía, Misterio & Suspense, Acción & Aventura, Terror, Comedia",1h 50min,12,Nacho Vigalondo,(2017),", Anne Hathaway, Jason Sudeikis, Tim Blake Nelson, Dan Stevens, Austin Stowell, Hannah Cheramy, Agam Darshi, Rukiya Bernard, Miho Suzuki, Sarah Surh, Nathan Ellison, Everett Adams, Charles Singh, Jenny Mitchell, Alyssa Dawson, Maddie Smith, James Yi, Haeun Hannah Cho, Melissa M. Montgomery, Christine Lee, Hettie Lynne Hurtes, Andrew Tait, Carlos Joe Costa"
Across the Line,32%,"Misterio & Suspense, Drama, Acción & Aventura",1h 34min,,R. Ellis Frazier,(2010),", Aidan Quinn, Andy García, Mario Van Peebles, Danny Pino, Claudia Ferri, Luke Goss, Gary Daniels, Gina Gershon, Bokeem Woodbine, Raymond J. Barry, Elya Baskin, Corbin Bernsen, Melissa Baldridge, Jordan Belfi, Geoffrey Ross"
Spider-Man 3,72%  6.3 (596k),"Acción & Aventura, Fantasía, Europeas, Ciencia ficción",2h 19min,7,Sam Raimi,(2007),", Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Dylan Baker, Theresa Russell, Bill Nunn, Bruce Campbell, Elizabeth Banks, Ted Raimi, Perla Haney-Jardine, Willem Dafoe, Cliff Robertson, Elya Baskin, Mageina Tovah, John Paxton, Becky Ann Baker, Stan Lee, Michael Papajohn, Joe Manganiello, Hal Fishman, Lucy Gordon, Steve Valentine, Tim Maculan, Marc Vann, Joe Bays, Gregg Daniel, Rogelio T. Ramos, Timothy Patrick Quill, Menachem Mendel Boymelgreen, Nasir Stewart, Austin Hendrickson, Taylor Hemhauser, Kathryn Bryding, Joe Virzi, Bill E. Rogers, Michael Alexander, April Parker-Jones, Edward Padilla, Robert Curtis Brown, Paul Terrell Clayton, Carolyn Neff, Christina Cindrich, Sonya Maddox, Andre B. Blake, Derrick 'Phoenix' Thomas, Jessi Collins, Michael McLaughlin, Anne Gartlan, Emilio Rivera, Keith Woulard, Reynaldo Gallegos, Jim Coope, Dean Edwards, Margaret Laney, Toni Wynne, Aimee Miles, Tanya Bond, Mark Kubr, Emma Raimi, Lorne Raimi, Henry Raimi, Alan Cohn, Dan Callahan, Daniel Cummings, Ron King, Carol Chaikin, Vance Hammond, Frank Anello, Anya Avaeva, David Backus, Tony Besson, Michael Ciesla, Irina Costa, John Crann, Crystal Marie Denha, Amy V. Dewhurst, Paul Edney, Natalie Fabry, Keith Fausnaught, Logan Fry, Kevin Fung, Tony Galtieri, Brian Hopson, Andrew James Jones, Natalie Jones, Christopher Jude, Brittany Krall, Pierangeli Llinas, Bernadette Lords, Natalie McNeil, Martha Millan, Michele-Nanette Miller, Claudia Katz Minnick, Jen Oda, Anjelia Pelay, Nick Poltoranin, Vanessa Reseland, La Rivers, Bria Roberts, Vanessa Ross, Brenna Roth, Shade Rupe, Eric Shackelford, Daniel Shafer, Abbey Skinner, Kristin Somo, Jennifer Sparks, Christopher Stadulis, Arne Starr, Aija Terauda, Evelyn Vaccaro, Nick Vlassopoulos, Sincerely A. Ward, Jennifer Weston, Ray Wineteer, Emily Eckes, Samantha Ressler"
The Sandman,20%  4.2,Terror,1h 11min,,,(2017),
Judy,75%  6.8 (51k),"Drama, Historia, Música, Romance, Europeas",1h 58min,12,Rupert Goold,(2019),", Renée Zellweger, Finn Wittrock, Rufus Sewell, Jessie Buckley, Michael Gambon, Richard Cordery, Bella Ramsey, John Dagleish, Gemma-Leah Devereux, Tim Ahern, Bentley Kalu, Arthur McBain, Phil Dunster, David Shields, John Mackay, Darci Shaw, Tom Durant-Pritchard, Andy Nyman, Daniel Cerqueira, Royce Pierreson, David Rubin, Natasha Powell, Israel Ruiz, Lucy Russell, Matt Nalton, Lewin Lloyd, Gus Barry"
Stars and Strife,27%  4.5,Documental,1h 37min,,David Smick,(2020),", David Smick, Barry Levinson, Alan Greenspan, Alice Rivlin, Amy Chua, Arthur Brooks, Chrissy Houlahan, David Ignatius, Derek Black, Francis Fukuyama, Hawk Newsome, James Baker III, Jeffrey Rosen, Katherine Gehl, Kenneth Langone, Larry Hogan, Larry Summers, Leon Panetta, Liza Gold, Niall Ferguson, Yisroel Goldstein, Rahm Emanuel, Roger Porter, Roy Baumeister, Shelby Coffey, Stanley Druckenmiller"
StarDog and TurboCat,66%  5.1 (2k),"Animación, Comedia, Familia, Fantasía",1h 30min,APTA,,(2019),", Luke Evans, Nick Frost, Gemma Arterton, Bill Nighy, Ben Bailey-Smith, Rachael Louise Miller, Cory English, Morgan Cambs, Dan Russell, Robert G. Slade, Charli D'Amelio"
The Fight,30%,"Documental, Acción & Aventura, Terror, Misterio & Suspense",1h 37min,,"Elyse Steinberg ,  Josh Kriegman ,  Eli B. Despres",(2020),", Brigitte Amiri, David Cole, Lee Gelernt, Dale Ho, Brett Kavanaugh, Donald Trump, Rachel Maddow, Jeffery Robinson, Chase Strangio"
Ozzy,63%  5.2 (2k),"Animación, Familia, Comedia",1h 30min,APTA,"Alberto Rodríguez ,  Nacho La Casa",(2016),", Guillermo Romero, Dani Rovira, José Mota, Carlos Areces, Michelle Jenner, Fernando Tejero, Elsa Pataky, Pablo Espinosa, Selu Nieto, Juan Fernández, Luis Bajo, Héctor Cantolla, Lorenzo Beteta, José Escobosa, David Hernández, Matías Prats Jr., Manolo Lama, Roberto Encinas, Mario Martín Serrano, Ricardo Escobar, Fermín Pintos"
Hooking Up,67%  5.5 (2k),"Drama, Comedia",1h 45min,18,,(2020),", Sam Richardson, Brittany Snow, Vivica A. Fox, Anna Akana, Jordana Brewster, Richard Jackson, Rob Moran, Amy Pietz, Bryan Pitts, Minnie Quan, Alexis G. Zall, Jack Watkins"
Hell on the Border,57%  4.5 (1k),Western,1h 46min,18,Wes Miller,(2019),", Ron Perlman, Frank Grillo, David Gyasi, Randy Wayne, Manu Intiraymi, Gianni Capaldi, Jaqueline Fleming, Alexander Kane, Chris Mullinax, Zahn McClarnon, Rudy Youngblood, Marshall R. Teague"
Rambo,61%  6.4,"Misterio & Suspense, Comedia, Drama",2h 24min,,,(2012),", Sharan, Madhuri Itagi, Tabla Nani, Sadhu Kokila, Rangayana Raghu, Umashree, Shruti"
Strike,65%  6.0 (2k),"Familia, Drama, Comedia, Deporte",1h 27min,,Rod Daniel,(2000),", Kyle Schmid, Robert Ri'chard, Kaley Cuoco, Joey Wilcots, Matt McCoy, Hardee T. Lineham, Tim Reid, Daphne Maxwell Reid, Philip Williams, Laura Vandervoort, Joan Gregson, Janet Bailey, Mimi Paley"
Primal,60%  4.9 (8k),"Acción & Aventura, Misterio & Suspense",1h 37min,16,Nick Powell,(2019),", Nicolas Cage, Famke Janssen, Kevin Durand, Jeremy Jay Nazario, LaMonica Garrett, Michael Imperioli, Isaac Santiago, Braulio Castillo Jr., Tommy Walker, Sewell Whitney, Leon Andrew Joseph, Sebastian Vazquez, John Lewis, Rey Hernandez, Drake Shannon, Jaime Irizarry, Daniel Salinas, Pablo Tufiño, Lunarena Del Fresno, Brian Tester, Juan C. Defendini"
The Courier,53%  4.5 (4k),"Acción & Aventura, Crimen, Drama, Misterio & Suspense",1h 39min,,Hany Abu-Assad,(2012),", Jeffrey Dean Morgan, Josie Ho, Miguel Ferrer, Lili Taylor, Mark Margolis, Mickey Rourke, Til Schweiger, David Jensen, Clyde Jones, Andrea Frankle, Lily Solange Hewitt"
The Binge,60%  5.2 (4k),Comedia,1h 38min,,Jeremy Garelick,(2020),", Skyler Gisondo, Dexter Darden, Eduardo Franco, Vince Vaughn, Grace Van Dien, Esteban Benito, Eileen Galindo, Marta Piekarz, Zainne Saleh, Brittany Garms, Natalie Paige Goldberg, Ian Soares, Hayes MacArthur, Ryan Joseph Long"
